100063,Sekou Abdus-Sabur,Mid Atlantic,CrossFit 1st Due,CrossFit 1st Due,Male,41,5'11",230 lb,--,--,2:35,--,--,--,33:00,--,--,455 lb,350 lb,6
100064,Michael Sandone,North Central,,,Male,34,5'8",185 lb,4:10,--,3:09,20:15,--,--,--,265 lb,215 lb,485 lb,415 lb,49
100065,Shannon Ervin,South East,Crucible Crossfit,Crucible CrossFit,Female,27,--,--,--,--,--,--,--,--,--,--,--,--,--,--
100066,Billy Lewis,South Central,Grapevine CrossFit,Grapevine CrossFit,Male,30,6'2",190 lb,4:58,9:19,--,--,296,--,--,--,165 lb,430 lb,265 lb,--
100067,Whitney Willson,Central East,CrossFit Akron,CrossFit Akron,Female,25,5'6",144 lb,--,--,--,--,--,--,--,--,--,--,--,--
100068,Joel Richards,Canada East,West London CrossFit,West London CrossFit,Male,34,5'10",190 lb,--,--,--,--,--,--,--,--,--,545 lb,465 lb,--
100069,April Gonzalez,South East,,CrossFit Inception,Female,35,5'1",125 lb,--,--,--,--,--,--,--,--,--,--,--,--
10007,Shana Matthews,Mid Atlantic,CrossFit 910,CrossFit 910,Female,34,5'3",160 lb,7:01,11:53,3:31,32:11,234,1:35,29:57,130 lb,100 lb,240 lb,170 lb,13
100072,Vanessa Dures,Latin America,MAGNFICOS CROSSFIT BH,CrossFit BH,Female,24,162 cm,63 kg,--,--,--,--,--,--,--,--,--,--,--,--
100073,Ellen Gallagher,Mid Atlantic,CrossFit Old Bay,CrossFit Old Bay,Female,33,--,--,--,--,--,--,--,--,--,--,--,--,--,--
100075,William Jackson,North East,,Rutland CrossFit,Male,22,5'9",160 lb,--,--,--,--,--,--,--,--,--,--,--,--
100076,Molly Altland,Central East,CrossFit Utility,CrossFit Utility,Female,34,--,--,--,--,--,--,--,--,--,--,--,--,--,--
100078,Roger Larsson,Europe,CrossFit Kalmar,CrossFit Kalmar,Male,30,184 cm,84 kg,--,--,--,--,--,--,--,132 kg,102 kg,250 kg,200 kg,23
